"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
2922,"2018-03-27",0.599026,0.604332,0.565132,0.577917,351381000,23418400000,"XRP",-0.0352388711007534,"03","2018","27","2018-03","Down",0.000850200255925894
2923,"2018-03-26",0.642683,0.644121,0.585922,0.599463,384505000,25125200000,"XRP",-0.0672493282069077,"03","2018","26","2018-03","Down",-0.0352388711007534
2924,"2018-03-25",0.638632,0.657213,0.631901,0.641875,229352000,24966800000,"XRP",0.00507804181437823,"03","2018","25","2018-03","Up",-0.0672493282069077
2925,"2018-03-24",0.646214,0.679608,0.640516,0.641265,390740000,25263200000,"XRP",-0.00765845370109589,"03","2018","24","2018-03","Down",0.00507804181437823
2926,"2018-03-23",0.663111,0.663111,0.625258,0.643174,387164000,25923800000,"XRP",-0.0300658562442788,"03","2018","23","2018-03","Down",-0.00765845370109589
2927,"2018-03-22",0.693145,0.701351,0.636741,0.662743,449042000,27097900000,"XRP",-0.0438609526145324,"03","2018","22","2018-03","Down",-0.0300658562442788
2928,"2018-03-21",0.713055,0.72061,0.679162,0.693664,527324000,27876200000,"XRP",-0.0271942557025756,"03","2018","21","2018-03","Down",-0.0438609526145324
2929,"2018-03-20",0.736759,0.736759,0.673427,0.709808,814276000,28802900000,"XRP",-0.0365804828987499,"03","2018","20","2018-03","Down",-0.0271942557025756
2930,"2018-03-19",0.672126,0.74908,0.640012,0.74908,1096930000,26274600000,"XRP",0.114493413437361,"03","2018","19","2018-03","Up",-0.0365804828987499
2931,"2018-03-18",0.634466,0.677591,0.548815,0.658777,923606000,24802400000,"XRP",0.0383172620755091,"03","2018","18","2018-03","Up",0.114493413437361
2932,"2018-03-17",0.687745,0.689434,0.626709,0.637856,319824000,26885100000,"XRP",-0.0725399675751915,"03","2018","17","2018-03","Down",0.0383172620755091
2933,"2018-03-16",0.699063,0.71178,0.674463,0.68926,502740000,27327600000,"XRP",-0.0140230565771612,"03","2018","16","2018-03","Down",-0.0725399675751915
2934,"2018-03-15",0.702913,0.730673,0.643845,0.697269,888345000,27478100000,"XRP",-0.00802944318855958,"03","2018","15","2018-03","Down",-0.0140230565771612
2935,"2018-03-14",0.789569,0.79908,0.67601,0.701902,479149000,30865600000,"XRP",-0.111031461468219,"03","2018","14","2018-03","Down",-0.00802944318855958
2936,"2018-03-13",0.798451,0.805729,0.778471,0.789711,279679000,3.1213e+10,"XRP",-0.0109461945692346,"03","2018","13","2018-03","Down",-0.111031461468219
2937,"2018-03-12",0.832127,0.838328,0.787882,0.801048,355031000,32529500000,"XRP",-0.0373488662187382,"03","2018","12","2018-03","Down",-0.0109461945692346
2938,"2018-03-11",0.795765,0.840407,0.775737,0.831122,472972000,3.1108e+10,"XRP",0.0444314590362734,"03","2018","11","2018-03","Up",-0.0373488662187382
2939,"2018-03-10",0.854872,0.860443,0.793736,0.796627,402670000,33418600000,"XRP",-0.068133007046669,"03","2018","10","2018-03","Down",0.0444314590362734
2940,"2018-03-09",0.826122,0.856182,0.751485,0.849761,989203000,32294700000,"XRP",0.028614417725227,"03","2018","09","2018-03","Up",-0.068133007046669
2941,"2018-03-08",0.872508,0.888562,0.825387,0.825857,499496000,3.4108e+10,"XRP",-0.0534677045941126,"03","2018","08","2018-03","Down",0.028614417725227
2942,"2018-03-07",0.924378,0.930659,0.824895,0.87121,809598000,36135700000,"XRP",-0.0575175956156464,"03","2018","07","2018-03","Down",-0.0534677045941126
2943,"2018-03-06",0.954448,0.991306,0.916863,0.922887,875180000,37311200000,"XRP",-0.0330672807738085,"03","2018","06","2018-03","Down",-0.0575175956156464
2944,"2018-03-05",1.01,1.08,0.956116,0.959368,1706820000,39650700000,"XRP",-0.0501306930693069,"03","2018","05","2018-03","Down",-0.0330672807738085
2945,"2018-03-04",0.906008,1.03,0.895618,1.01,797226000,35417600000,"XRP",0.114780443439793,"03","2018","04","2018-03","Up",-0.0501306930693069
2946,"2018-03-03",0.908786,0.926512,0.903604,0.907804,280853000,35526200000,"XRP",-0.0010805624206358,"03","2018","03","2018-03","Down",0.114780443439793
